timestamp,zone_id,demand_mw,demand_forecast_mw,price_per_mwh,temp_c,humidity,wind_speed,precipitation
2024-01-10 02:00:00+00,NYISO,18848,18504,34.33266666666667,13.9,90,37.3,8.6
2024-01-10 03:00:00+00,NYISO,17751,17571,31.62066666666667,13.6,91,25.2,13.8
2024-01-10 04:00:00+00,NYISO,16567,16485,29.97666666666667,13.7,91,29.4,7.9
2024-01-10 05:00:00+00,NYISO,15521,15504,29.377333333333336,13.7,89,20.4,3.3
2024-01-10 06:00:00+00,NYISO,14791,14553,28.238,14,91,25.1,0.4
2024-01-10 07:00:00+00,NYISO,14322,14044,27.773333333333333,13.5,93,22.7,0.1
2024-01-10 08:00:00+00,NYISO,14018,13743,26.823333333333334,12.1,92,25.3,0.1
2024-01-10 09:00:00+00,NYISO,13901,13627,27.29733333333333,10.1,81,24.3,0
2024-01-10 10:00:00+00,NYISO,14089,13814,28.816,8.4,78,22.7,0
2024-01-10 11:00:00+00,NYISO,14770,14556,33.05866666666667,7.8,71,20.5,0
2024-01-10 12:00:00+00,NYISO,16117,16008,35.964000000000006,7.4,63,21,0
2024-01-10 13:00:00+00,NYISO,17292,17181,37.27333333333333,7.4,80,20.6,0.1
2024-01-10 14:00:00+00,NYISO,17643,17673,36.59733333333334,7.6,71,22.8,0.1
2024-01-10 15:00:00+00,NYISO,17685,17866,35.336,8.6,51,29.7,0
2024-01-10 16:00:00+00,NYISO,17385,17821,35,9.3,43,31,0
2024-01-10 17:00:00+00,NYISO,17648,17735,33.833333333333336,9.2,44,34.5,0
2024-01-10 18:00:00+00,NYISO,17775,17659,33.75666666666667,9.2,43,35.3,0
2024-01-10 19:00:00+00,NYISO,18066,17748,34.434666666666665,8.5,45,34.9,0
2024-01-10 20:00:00+00,NYISO,18421,17925,36.013333333333335,8.1,48,32.6,0
2024-01-10 21:00:00+00,NYISO,18706,18264,39.04333333333333,7.9,46,28.9,0
2024-01-10 22:00:00+00,NYISO,19341,18908,45.112,7.6,46,26.2,0
2024-01-10 23:00:00+00,NYISO,19953,19645,43.98266666666667,6.5,50,24.2,0
2024-01-11 00:00:00+00,NYISO,19777,19504,40.07,5.8,52,21.8,0
2024-01-11 01:00:00+00,NYISO,19400,19049,37.18666666666666,7.3,49,17.9,0
2024-01-11 02:00:00+00,NYISO,18776,18448,34.90133333333333,6.8,50,16.4,0
2024-01-11 03:00:00+00,NYISO,17908,17587,31.829333333333334,6.3,52,17,0
2024-01-11 04:00:00+00,NYISO,16901,16538,29.942,5.2,54,16.6,0
2024-01-11 05:00:00+00,NYISO,15938,15578,34.187999999999995,4,60,13.4,0
2024-01-11 06:00:00+00,NYISO,15255,14780,31.583333333333332,3.7,63,12.4,0
2024-01-11 07:00:00+00,NYISO,14807,14339,31.12066666666667,3.3,65,12.3,0
